,device_3,device_2,device_1,device_sale,nb_sales
0,Desktop,Desktop,Tablet,Tablet,499
1,Desktop,Tablet,Tablet,Tablet,498
2,Smartphone,Desktop,Desktop,Smartphone,328
3,Desktop,Smartphone,Smartphone,Smartphone,328
4,Tablet,Tablet,Smartphone,Tablet,12300
5,Desktop,Desktop,Smartphone,Desktop,26404
6,Desktop,Smartphone,Desktop,Smartphone,328
7,Desktop,Tablet,Tablet,Desktop,12464
8,Tablet,Desktop,Tablet,Tablet,497
9,Smartphone,Tablet,Tablet,Tablet,12325
10,,Desktop,Tablet,Desktop,14
11,Smartphone,Desktop,Smartphone,Smartphone,328
12,Tablet,Desktop,Tablet,Desktop,12464
13,Smartphone,App,App,Smartphone,3444
14,Tablet,Desktop,Desktop,Tablet,497
15,,Desktop,Tablet,Tablet,2
16,Desktop,Tablet,Desktop,Desktop,4264
17,,,App,App,7
18,Smartphone,Smartphone,App,Smartphone,8364
19,Smartphone,Smartphone,Smartphone,Tablet,4441
20,,,Tablet,Tablet,176
21,,App,App,Smartphone,5
22,,Smartphone,Desktop,Smartphone,2
23,Tablet,Smartphone,Smartphone,Tablet,7380
24,,Smartphone,Desktop,Desktop,29
25,,Tablet,Tablet,Tablet,478
26,Desktop,Desktop,Desktop,Tablet,500
27,Desktop,Desktop,Desktop,Smartphone,328
28,,Desktop,Desktop,Smartphone,2
29,Smartphone,Smartphone,Smartphone,Desktop,15252
30,,Desktop,Desktop,Desktop,17741
31,,Smartphone,App,Smartphone,11
32,Smartphone,Smartphone,Desktop,Smartphone,328
33,App,App,App,Smartphone,1476
34,Tablet,Desktop,Desktop,Desktop,4264
35,App,Smartphone,App,Smartphone,3444
36,,,Smartphone,Smartphone,214
37,Desktop,Desktop,Tablet,Desktop,4264
38,,App,App,App,27
39,,,,Tablet,103
40,,Desktop,Smartphone,Smartphone,2
41,,,App,Smartphone,3
42,,,,Smartphone,142
43,,,Desktop,Tablet,2
44,,Tablet,Tablet,Desktop,40
45,Tablet,Tablet,Tablet,Desktop,36736
46,,Desktop,Desktop,Tablet,2
47,Tablet,Tablet,Desktop,Tablet,497
48,Smartphone,Smartphone,Tablet,Tablet,7400
49,Tablet,Tablet,Tablet,Tablet,334600
50,,Tablet,Desktop,Desktop,14
51,,Tablet,Desktop,Tablet,2
52,,,,App,3
53,Desktop,Tablet,Desktop,Tablet,498
54,,,,Desktop,2187
55,Tablet,Smartphone,Tablet,Tablet,12300
56,Desktop,Desktop,Smartphone,Smartphone,328
57,Desktop,Smartphone,Smartphone,Desktop,13612
58,Smartphone,Smartphone,Desktop,Desktop,13612
59,,Smartphone,Smartphone,Desktop,27
60,,App,Smartphone,Smartphone,11
61,Smartphone,Desktop,Smartphone,Desktop,13612
62,,,Tablet,Desktop,8
63,Desktop,Smartphone,Desktop,Desktop,26404
64,,,Desktop,Smartphone,2
65,,Desktop,Smartphone,Desktop,29
66,,,Desktop,Desktop,4179
67,,Smartphone,Smartphone,Smartphone,506
68,Smartphone,App,Smartphone,Smartphone,8364
69,Tablet,Tablet,Desktop,Desktop,12464
70,Smartphone,Tablet,Smartphone,Tablet,7395
71,Smartphone,Desktop,Desktop,Desktop,26404
72,Desktop,Desktop,Desktop,Desktop,35743426
73,App,App,Smartphone,Smartphone,3444
74,App,Smartphone,Smartphone,Smartphone,8364
75,,,Smartphone,Desktop,9
76,Smartphone,Smartphone,Smartphone,Smartphone,314773
77,App,App,App,App,20828
